,seniorcitizen,partner,dependents,tenure,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
2980,0,No,No,72,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.45,1866.45
3228,0,Yes,Yes,53,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,105.25,5576.3
4153,0,No,No,27,No,No,No,No,No,No,No,One year,No,Mailed check,20.3,595.05
6832,0,Yes,Yes,53,No,No,No,No,No,No,No,Two year,No,Mailed check,20.9,1146.05
3887,0,No,No,11,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,815.5
2387,0,No,No,5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.3,550.6
2752,0,Yes,Yes,31,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),35.4,1077.5
5586,0,No,No,27,No,No,No,No,No,No,No,One year,No,Mailed check,19.15,501.35
2913,0,No,No,52,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),63.9,3334.95
4618,1,No,No,4,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4
1317,0,No,No,3,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.6,86.35
1204,0,Yes,Yes,18,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.55,467.85
4159,1,No,No,59,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.75,5496.9
1662,0,No,No,5,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.75,324.6
88,0,Yes,Yes,46,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1
1147,0,No,No,3,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,60.25,170.5
7023,1,Yes,No,63,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.5,6479.4
4173,0,No,No,12,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.55,1066.9
141,0,No,No,8,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65
4055,0,No,No,54,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),46.2,2431.95
5465,0,No,No,26,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,56.05,1553.2
5894,0,No,No,45,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.85,4740.0
4447,0,Yes,No,68,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.7,7320.9
895,0,No,No,30,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7
580,0,Yes,Yes,12,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.0,233.55
2086,0,Yes,Yes,17,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85
7007,1,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.1,4685.55
6131,1,No,No,47,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.05,4504.55
2530,0,No,No,7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,715.0
3242,0,No,Yes,5,No,No,No,No,No,No,No,Two year,No,Mailed check,20.45,106.9
1462,0,Yes,No,36,No,No,No,No,No,No,No,One year,No,Mailed check,20.0,666.75
4922,0,Yes,Yes,61,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,59.8,3641.5
3821,1,No,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2
5215,0,Yes,No,8,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.15,156.25
1318,0,No,No,8,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,66.7,579.0
1710,0,No,No,5,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,82.75,417.75
3723,0,Yes,Yes,18,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.45,357.0
6201,1,No,No,5,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,80.7,374.8
5680,1,Yes,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.85,20.85
4542,1,Yes,No,32,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,79.3,2570.0
4568,0,No,No,26,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,85.2,2184.6
2658,0,Yes,Yes,14,No,No,No,No,No,No,No,Two year,No,Mailed check,18.8,255.55
5198,1,Yes,No,47,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,80.35,3825.85
6587,1,No,No,64,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.5,6548.65
6703,0,No,No,2,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.25,85.5
2388,0,No,No,1,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.45,55.45
1076,0,Yes,Yes,58,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),24.5,1497.9
6274,0,No,No,57,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,86.9,4939.25
3847,0,No,No,10,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.0,198.6
1072,0,No,No,22,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),56.75,1304.85
4179,1,No,No,12,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.3,828.05
3207,0,No,No,5,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.65,92.05
5708,1,Yes,Yes,11,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),78.1,864.85
4962,0,Yes,Yes,17,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,74.55,1215.8
3121,1,No,No,16,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,59.4,1023.9
244,1,No,No,13,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,54.8,731.3
4421,0,Yes,No,34,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,88.85,3000.25
4527,0,No,No,39,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,80.45,3201.55
5418,1,No,No,18,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1411.65
2843,0,Yes,Yes,52,No,No,No,No,No,No,No,Two year,No,Mailed check,19.85,1070.5
4690,0,Yes,No,31,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),66.4,2019.8
4426,0,No,Yes,16,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),79.5,1264.2
4864,0,Yes,No,71,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),113.15,7953.25
4973,1,Yes,No,13,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),93.8,1261.0
3837,0,No,No,4,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,443.9
76,0,No,No,46,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85
2095,0,No,No,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,79.95
1764,0,Yes,Yes,63,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,75.7,4676.7
6638,0,No,No,57,No,No,No,No,No,No,No,Two year,No,Mailed check,20.75,1118.8
3569,0,No,No,17,No,No,No,No,No,No,No,One year,No,Mailed check,19.95,310.6
44,0,Yes,No,13,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45
3111,0,Yes,Yes,72,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,103.4,7372.65
2287,1,Yes,No,69,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.4,7318.2
362,0,Yes,No,58,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),50.3,2878.55
3313,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.2,19.2
3681,1,Yes,No,46,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4680.05
5887,0,No,Yes,17,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.3,846.8
1760,0,Yes,Yes,50,DSL,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),54.9,2614.1
3570,0,Yes,Yes,16,No,No,No,No,No,No,No,Two year,No,Mailed check,20.5,290.55
6341,0,No,No,13,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.35,1358.85
1877,0,No,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.55,6362.35
3994,1,Yes,No,54,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),101.5,5373.1
3731,0,No,No,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,146.65
2021,0,Yes,Yes,62,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65
3996,0,No,No,24,No,No,No,No,No,No,No,Two year,No,Mailed check,20.75,487.05
3437,0,No,No,41,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.3,2364.0
1110,0,No,No,60,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),39.6,2424.5
2243,1,Yes,No,66,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,6690.75
71,0,Yes,Yes,52,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65
5530,0,No,No,66,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),92.15,6056.9
2965,0,No,No,51,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),80.0,4242.35
3843,1,Yes,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.85,70.85
5605,0,Yes,Yes,10,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,60.2,563.5
93,0,No,No,65,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0
4188,1,No,No,28,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65
6773,1,Yes,No,37,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.5,3473.4
6377,0,No,No,1,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,44.65,44.65
4612,0,No,Yes,65,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,45.25,2933.95
2267,0,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.65,8124.2
1479,0,No,No,44,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,49.05,2265.0
5513,1,No,No,67,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),92.45,6140.85
5454,1,Yes,No,1,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.55,69.55
48,0,No,No,52,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8
264,0,Yes,No,45,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,113.3,5032.25
152,0,Yes,Yes,70,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,7930.55
6565,0,Yes,No,61,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.2,6375.2
4248,0,Yes,No,56,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.55,5116.6
5133,1,Yes,No,24,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.25,2433.9
1598,0,Yes,No,27,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.55,520.55
6579,0,No,No,72,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.3,5997.1
2062,0,No,No,66,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),25.15,1683.6
4601,0,No,No,45,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.65,4747.85
307,0,Yes,Yes,29,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,75.55,2054.4
7028,0,Yes,No,68,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),64.1,4326.25
6334,0,No,Yes,67,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,104.0,7039.05
651,0,No,No,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.6,74.6
1870,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.55,45.55
3528,0,No,No,16,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.7,342.4
2602,0,Yes,Yes,64,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.45,7266.95
4933,0,No,Yes,4,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.2,223.75
487,0,No,No,72,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.6,6201.95
6761,0,No,No,1,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.9,19.9
2166,1,Yes,No,59,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9
6326,0,No,No,62,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),43.6,2748.7
1828,0,No,No,42,No,No,No,No,No,No,No,One year,No,Electronic check,25.05,949.85
2861,0,No,No,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.95,81.95
2410,0,Yes,No,43,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,80.45,3398.9
6290,0,Yes,No,71,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),93.7,6585.35
3673,0,No,No,42,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,4273.45
3431,0,Yes,No,24,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,2391.8
5124,0,Yes,Yes,25,No,No,No,No,No,No,No,Two year,No,Mailed check,20.1,486.05
5086,0,No,No,45,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,930.45
6629,1,Yes,No,72,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,6129.65
4788,0,No,No,59,DSL,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),54.15,3116.15
72,1,Yes,Yes,64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0
2313,0,Yes,Yes,43,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.3,4451.85
2181,0,Yes,Yes,50,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),84.15,4164.4
3922,1,Yes,No,67,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,6079.0
4529,1,No,No,9,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.2,447.9
2922,0,Yes,No,28,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,92.35,2602.9
2634,0,Yes,No,1,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.8,84.8
3775,1,No,No,41,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,4187.75
5080,0,Yes,No,67,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,93.15,6368.2
125,0,No,No,33,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65
3753,0,No,No,1,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,29.15,29.15
5100,0,No,No,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.3,75.3
2841,0,No,No,3,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.1,79.8
5715,0,No,No,32,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,3432.9
5728,0,No,No,13,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,89.4,1132.35
5811,0,Yes,No,61,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),80.9,4932.5
3808,0,Yes,Yes,3,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.3,54.7
3098,1,Yes,No,30,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.65,2365.15
6882,1,No,No,71,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),99.65,7181.25
4168,0,Yes,No,61,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,62.15,3778.85
826,1,Yes,No,7,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35
1175,0,No,No,13,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.0,1029.35
6454,0,No,No,41,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.3,3190.65
4390,0,Yes,Yes,22,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,57.95,1271.8
352,1,No,No,7,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35
3039,1,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),64.45,4641.1
724,1,Yes,No,33,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55
5581,0,Yes,Yes,68,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,113.15,7856.0
6114,0,No,No,8,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.65,520.95
2552,0,Yes,No,47,No,No,No,No,No,No,No,One year,No,Electronic check,26.9,1250.85
3610,0,No,No,12,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.15,1164.3
1604,0,Yes,Yes,69,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),95.75,6511.25
4855,0,Yes,No,64,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.05,6605.55
5536,0,No,No,9,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.7,296.1
1284,0,Yes,Yes,59,No,No,No,No,No,No,No,Two year,No,Mailed check,19.85,1188.25
3792,1,No,No,26,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8
2969,0,Yes,Yes,65,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,109.3,7337.55
3436,0,No,No,25,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.5,516.3
6026,0,No,No,13,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),19.45,232.1
6155,0,Yes,No,5,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.35,126.05
1480,0,No,No,39,DSL,No,No,Yes,Yes,No,No,One year,No,Mailed check,35.55,1309.15
2514,1,No,No,25,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.7,2187.55
4823,0,No,No,1,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.95,53.95
1109,0,Yes,No,40,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,2058.5
6200,0,Yes,Yes,59,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.5,1222.65
4219,0,No,No,48,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,75.15,3772.65
2700,0,No,No,35,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,24.15,812.5
3188,0,No,No,8,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.85,365.55
1708,0,No,No,4,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.4,299.7
205,0,No,No,33,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),79.95,2684.85
5855,0,No,No,55,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.55,2832.75
3505,0,No,No,9,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,190.25
700,0,Yes,Yes,66,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),63.3,4189.7
1562,0,Yes,Yes,7,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.65,246.6
4492,0,Yes,Yes,54,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.05,1230.9
6631,0,Yes,No,25,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.55,1405.3
1126,0,No,No,7,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,74.65,544.55
5110,0,No,No,8,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.5,632.2
4054,1,No,No,34,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.25,1765.95
2778,0,No,No,13,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,74.65,966.25
2808,0,Yes,Yes,2,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.1,184.15
2355,0,Yes,Yes,67,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.2,3838.2
5192,0,No,Yes,60,No,No,No,No,No,No,No,Two year,No,Mailed check,19.95,1189.9
2677,0,No,No,4,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.05,266.9
1984,0,Yes,Yes,14,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.9,1259.0
4537,0,Yes,No,17,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,49.8,836.35
1918,0,No,No,24,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,54.95,1348.5
3276,0,No,No,4,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.15,317.25
2865,0,Yes,Yes,66,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),109.25,7082.5
3319,0,No,No,2,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.75,146.9
4096,0,No,No,20,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.4,1871.15
3143,0,Yes,Yes,13,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,72.8,930.05
5607,1,No,No,40,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.8,2109.35
4621,0,No,No,6,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.45,314.6
5406,0,Yes,Yes,71,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,97.2,6910.3
1629,0,Yes,No,68,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),70.95,4741.45
38,0,No,No,34,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25
675,1,No,No,65,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,110.35,7246.15
1280,1,Yes,No,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),114.85,8317.95
846,0,No,No,65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.85,5459.2
6583,0,No,No,22,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.25,412.55
5421,0,No,No,38,No,No,No,No,No,No,No,Two year,No,Mailed check,20.05,741.5
51,0,No,No,15,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4
3876,0,No,No,22,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.65,2415.95
5673,0,No,No,4,No,No,No,No,No,No,No,One year,No,Mailed check,19.7,117.8
4862,0,No,No,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.95,137.95
334,0,No,No,2,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8
2445,0,Yes,Yes,27,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35
1162,0,No,No,67,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,4991.5
1045,0,Yes,Yes,43,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95
1822,0,No,Yes,31,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.55,2697.4
2419,0,No,No,11,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),53.8,651.55
4787,0,Yes,No,4,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.7,235.05
2800,0,Yes,Yes,20,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.35,442.6
5907,0,No,No,1,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.3,44.3
5182,0,No,No,12,No,No,No,No,No,No,No,One year,No,Credit card (automatic),24.95,280.4
3768,0,Yes,No,55,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.75,4266.4
3929,0,Yes,Yes,50,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),44.8,2230.85
5007,0,No,No,25,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.6,541.5
4921,0,Yes,Yes,39,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4
4811,0,No,No,4,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,46.0,193.6
5960,1,No,No,62,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,84.45,4959.15
1599,0,Yes,Yes,70,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.4,5717.85
2047,0,No,No,3,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,77.4,206.15
