,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,Rating
347,725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,2019-01-20,Cash,714.0,4.7
764,787-87-2010,A,Yangon,Member,Male,Health and beauty,55.5,4,11.1,233.1,2019-01-20,Credit card,222.0,6.6
119,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.343999999999999,112.22399999999999,2019-01-20,Ewallet,106.88,4.1
235,645-78-8093,A,Yangon,Normal,Female,Sports and travel,93.14,2,9.314,195.59400000000002,2019-01-20,Ewallet,186.28,4.1
18,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,Credit card,164.01,8.6
426,269-10-8440,A,Yangon,Member,Male,Health and beauty,53.17,7,18.6095,390.7995,2019-01-21,Cash,372.19,8.9
80,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.756999999999998,624.8969999999999,2019-01-21,Credit card,595.14,5.5
144,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,Ewallet,467.7,8.0
293,316-68-6352,A,Yangon,Member,Female,Food and beverages,36.36,2,3.636,76.35600000000001,2019-01-21,Cash,72.72,7.1
498,401-18-8016,B,Mandalay,Member,Female,Sports and travel,98.13,1,4.9065,103.0365,2019-01-21,Cash,98.13,8.9
707,162-65-8559,C,Naypyitaw,Member,Male,Food and beverages,68.98,1,3.449,72.429,2019-01-21,Cash,68.98,4.8
363,462-67-9126,A,Yangon,Normal,Male,Home and lifestyle,73.22,6,21.965999999999998,461.286,2019-01-21,Cash,439.32,7.2
540,460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68,3,4.602,96.64200000000001,2019-01-22,Ewallet,92.04,9.1
74,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,Ewallet,672.03,9.4
517,521-18-7827,C,Naypyitaw,Member,Male,Home and lifestyle,39.39,5,9.8475,206.7975,2019-01-22,Credit card,196.95,8.7
651,563-47-4072,B,Mandalay,Normal,Female,Health and beauty,55.81,6,16.743,351.603,2019-01-22,Cash,334.86,9.9
417,186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,2019-01-22,Ewallet,81.51,9.2
79,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,Cash,101.9,6.0
775,120-54-2248,B,Mandalay,Normal,Female,Food and beverages,28.86,5,7.215,151.515,2019-01-22,Credit card,144.3,8.0
859,316-66-3011,A,Yangon,Member,Female,Food and beverages,47.63,9,21.4335,450.1035,2019-01-23,Cash,428.67,5.0
983,148-41-7930,C,Naypyitaw,Normal,Male,Health and beauty,99.96,7,34.986,734.706,2019-01-23,Cash,699.72,6.1
787,790-38-4466,C,Naypyitaw,Normal,Female,Health and beauty,10.99,5,2.7475,57.6975,2019-01-23,Credit card,54.95,9.3
549,213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.817999999999998,416.17800000000005,2019-01-23,Cash,396.36,7.3
854,160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95,5,23.9875,503.7375,2019-01-23,Ewallet,479.75,8.8
608,318-12-0304,A,Yangon,Normal,Male,Fashion accessories,30.61,1,1.5305,32.1405,2019-01-23,Ewallet,30.61,5.2
421,740-22-2500,C,Naypyitaw,Normal,Female,Electronic accessories,84.05,3,12.6075,264.7575,2019-01-23,Cash,252.15,9.8
618,828-46-6863,A,Yangon,Member,Male,Food and beverages,98.53,6,29.559,620.739,2019-01-23,Credit card,591.18,4.0
90,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.99599999999998,2019-01-23,Cash,189.52,7.1
140,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,Credit card,898.0,5.4
82,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,Ewallet,154.0,6.6
181,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.14799999999997,2019-01-23,Cash,307.76,7.7
981,809-46-1866,A,Yangon,Normal,Male,Health and beauty,58.15,4,11.63,244.23,2019-01-23,Cash,232.6,8.4
470,767-05-1286,C,Naypyitaw,Member,Female,Home and lifestyle,83.77,6,25.131,527.751,2019-01-23,Ewallet,502.62,5.4
247,604-70-6476,A,Yangon,Member,Male,Fashion accessories,17.94,5,4.485,94.185,2019-01-23,Ewallet,89.7,6.8
600,219-61-4139,C,Naypyitaw,Normal,Male,Electronic accessories,83.08,1,4.154,87.234,2019-01-23,Ewallet,83.08,6.4
816,477-59-2456,C,Naypyitaw,Normal,Female,Fashion accessories,45.44,7,15.904000000000002,333.98400000000004,2019-01-23,Cash,318.08,9.2
531,435-13-4908,A,Yangon,Member,Male,Fashion accessories,86.68,8,34.672,728.112,2019-01-24,Credit card,693.44,7.2
684,510-79-0415,B,Mandalay,Member,Female,Sports and travel,23.08,6,6.9239999999999995,145.404,2019-01-24,Ewallet,138.48,4.9
935,235-06-8510,C,Naypyitaw,Member,Male,Home and lifestyle,85.72,3,12.857999999999999,270.018,2019-01-24,Ewallet,257.16,5.1
290,139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,2019-01-24,Credit card,403.0,7.0
68,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,Cash,787.7,6.4
733,438-23-1242,B,Mandalay,Normal,Male,Electronic accessories,75.88,7,26.558000000000003,557.7180000000001,2019-01-24,Ewallet,531.16,8.9
753,775-72-1988,B,Mandalay,Normal,Male,Home and lifestyle,73.28,5,18.32,384.72,2019-01-24,Ewallet,366.4,8.4
991,602-16-6955,B,Mandalay,Normal,Female,Sports and travel,76.6,10,38.3,804.3,2019-01-24,Ewallet,766.0,6.0
796,443-60-9639,C,Naypyitaw,Member,Female,Home and lifestyle,60.87,1,3.0435,63.9135,2019-01-24,Cash,60.87,5.5
612,789-23-8625,B,Mandalay,Member,Male,Fashion accessories,93.22,3,13.982999999999999,293.643,2019-01-24,Cash,279.66,7.2
814,778-34-2523,A,Yangon,Member,Female,Electronic accessories,48.62,8,19.448,408.408,2019-01-24,Cash,388.96,5.0
830,237-44-6163,A,Yangon,Normal,Male,Electronic accessories,10.56,8,4.224,88.704,2019-01-24,Cash,84.48,7.6
395,726-27-2396,A,Yangon,Normal,Female,Health and beauty,77.5,5,19.375,406.875,2019-01-24,Ewallet,387.5,4.3
371,261-12-8671,B,Mandalay,Normal,Female,Fashion accessories,60.96,2,6.096,128.016,2019-01-25,Credit card,121.92,4.9
288,283-79-9594,B,Mandalay,Normal,Female,Food and beverages,48.51,7,16.9785,356.5485,2019-01-25,Credit card,339.57,5.2
328,730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.74599999999998,2019-01-25,Credit card,204.52,4.0
471,340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,2019-01-25,Cash,160.2,9.7
298,307-83-9164,A,Yangon,Member,Male,Home and lifestyle,60.01,4,12.002,252.042,2019-01-25,Cash,240.04,4.5
411,569-71-4390,B,Mandalay,Normal,Male,Sports and travel,21.87,2,2.187,45.927,2019-01-25,Ewallet,43.74,6.9
415,268-03-6164,B,Mandalay,Normal,Male,Health and beauty,96.11,1,4.8055,100.9155,2019-01-25,Ewallet,96.11,7.8
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,Credit card,15.43,6.1
28,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,Cash,441.8,9.6
850,843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1,1,3.705,77.805,2019-01-25,Cash,74.1,9.2
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,Cash,277.34,7.5
754,288-38-3758,C,Naypyitaw,Member,Female,Fashion accessories,84.87,3,12.7305,267.3405,2019-01-25,Ewallet,254.61,7.4
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,Cash,905.0,8.1
690,394-55-6384,C,Naypyitaw,Member,Female,Sports and travel,70.19,9,31.5855,663.2955,2019-01-25,Cash,631.71,6.7
183,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,13.724,288.204,2019-01-25,Ewallet,274.48,5.7
210,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,2019-01-25,Ewallet,236.07,5.9
628,856-66-2701,A,Yangon,Member,Male,Home and lifestyle,53.3,3,7.995,167.895,2019-01-25,Ewallet,159.9,7.5
601,881-41-7302,C,Naypyitaw,Normal,Female,Fashion accessories,64.99,1,3.2495,68.2395,2019-01-26,Credit card,64.99,4.5
844,896-34-0956,A,Yangon,Normal,Male,Fashion accessories,21.32,1,1.0659999999999998,22.386,2019-01-26,Cash,21.32,5.9
629,308-39-1707,A,Yangon,Normal,Female,Fashion accessories,12.09,1,0.6045,12.6945,2019-01-26,Credit card,12.09,8.2
625,135-13-8269,B,Mandalay,Member,Female,Food and beverages,78.88,2,7.888,165.648,2019-01-26,Cash,157.76,9.1
548,539-21-7227,B,Mandalay,Normal,Female,Sports and travel,51.54,5,12.885,270.585,2019-01-26,Cash,257.7,4.2
964,794-42-3736,B,Mandalay,Normal,Male,Food and beverages,33.33,2,3.333,69.993,2019-01-26,Credit card,66.66,6.4
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.54200000000003,2019-01-26,Ewallet,290.04,6.4
351,834-61-8124,A,Yangon,Normal,Male,Electronic accessories,51.69,7,18.0915,379.9215,2019-01-26,Cash,361.83,5.5
226,836-82-5858,B,Mandalay,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,2019-01-26,Ewallet,624.33,4.0
193,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,Ewallet,102.2,5.7
598,258-69-7810,C,Naypyitaw,Normal,Female,Fashion accessories,36.85,5,9.2125,193.4625,2019-01-26,Cash,184.25,9.2
972,452-04-8808,B,Mandalay,Normal,Male,Electronic accessories,87.08,7,30.478,640.038,2019-01-26,Cash,609.56,5.5
230,289-65-5721,B,Mandalay,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,2019-01-26,Cash,162.74,6.5
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,Credit card,400.25,9.4
391,173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,398.475,2019-01-26,Cash,379.5,9.7
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,Ewallet,448.6,8.2
865,176-78-1170,C,Naypyitaw,Member,Male,Health and beauty,33.81,3,5.0715,106.5015,2019-01-26,Ewallet,101.43,7.3
388,394-41-0748,C,Naypyitaw,Member,Female,Fashion accessories,54.07,9,24.3315,510.9615,2019-01-27,Ewallet,486.63,9.5
3,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,Ewallet,465.76,8.4
458,325-90-8763,C,Naypyitaw,Member,Female,Electronic accessories,46.57,10,23.285,488.985,2019-01-27,Cash,465.7,7.6
818,869-11-3082,B,Mandalay,Member,Male,Health and beauty,96.16,4,19.232,403.87199999999996,2019-01-27,Credit card,384.64,8.4
497,862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24,6,27.072,568.512,2019-01-27,Cash,541.44,6.2
846,585-90-0249,A,Yangon,Member,Male,Electronic accessories,73.26,1,3.6630000000000003,76.923,2019-01-27,Ewallet,73.26,9.7
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,Cash,161.25,9.0
909,624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01,10,24.505,514.605,2019-01-27,Credit card,490.1,4.2
512,595-27-4851,A,Yangon,Normal,Female,Fashion accessories,54.28,7,18.998,398.958,2019-01-27,Ewallet,379.96,9.3
524,534-01-4457,A,Yangon,Normal,Male,Food and beverages,81.71,6,24.513,514.773,2019-01-27,Credit card,490.26,8.0
591,788-07-8452,C,Naypyitaw,Member,Female,Home and lifestyle,24.24,7,8.484,178.16400000000002,2019-01-27,Ewallet,169.68,9.4
368,613-59-9758,C,Naypyitaw,Normal,Female,Sports and travel,14.36,10,7.18,150.78,2019-01-27,Cash,143.6,5.4
273,633-91-1052,A,Yangon,Normal,Female,Home and lifestyle,12.03,2,1.203,25.263,2019-01-27,Cash,24.06,5.1
502,620-02-2046,C,Naypyitaw,Normal,Male,Home and lifestyle,69.4,2,6.94,145.74,2019-01-27,Ewallet,138.8,9.0
903,865-41-9075,A,Yangon,Normal,Male,Food and beverages,11.53,7,4.0355,84.7455,2019-01-28,Cash,80.71,8.1
543,243-47-2663,C,Naypyitaw,Member,Male,Electronic accessories,18.77,6,5.631,118.251,2019-01-28,Credit card,112.62,5.5
409,372-26-1506,C,Naypyitaw,Normal,Female,Fashion accessories,23.82,5,5.955,125.055,2019-01-28,Ewallet,119.1,5.4
31,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,Cash,702.63,4.5
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388000000000005,680.148,2019-01-28,Cash,647.76,9.3
989,430-53-4718,B,Mandalay,Member,Male,Health and beauty,75.37,8,30.148000000000003,633.1080000000001,2019-01-28,Credit card,602.96,8.4
445,390-80-5128,B,Mandalay,Member,Female,Health and beauty,19.15,1,0.9575,20.1075,2019-01-28,Credit card,19.15,9.5
895,699-88-1972,B,Mandalay,Normal,Male,Health and beauty,99.16,8,39.664,832.944,2019-01-28,Credit card,793.28,4.2
179,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,Ewallet,260.4,9.9
189,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,2019-01-28,Credit card,279.24,5.9
505,726-29-6793,A,Yangon,Member,Male,Electronic accessories,24.18,8,9.672,203.112,2019-01-28,Ewallet,193.44,9.8
872,544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43,10,10.715,225.015,2019-01-28,Cash,214.3,6.2
236,211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,2019-01-28,Credit card,87.05,4.9
826,222-42-0244,B,Mandalay,Member,Female,Health and beauty,72.11,9,32.4495,681.4395,2019-01-28,Credit card,648.99,7.7
825,569-76-2760,A,Yangon,Member,Female,Sports and travel,22.01,4,4.402,92.44200000000001,2019-01-29,Credit card,88.04,6.6
255,110-48-7033,B,Mandalay,Member,Male,Fashion accessories,32.62,4,6.524,137.004,2019-01-29,Cash,130.48,9.0
995,233-67-5758,C,Naypyitaw,Normal,Male,Health and beauty,40.35,1,2.0175,42.3675,2019-01-29,Ewallet,40.35,6.2
373,382-25-8917,C,Naypyitaw,Normal,Male,Fashion accessories,42.08,6,12.624,265.10400000000004,2019-01-29,Cash,252.48,8.9
737,137-63-5492,C,Naypyitaw,Normal,Male,Electronic accessories,58.76,10,29.38,616.98,2019-01-29,Ewallet,587.6,9.0
571,343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67,10,13.335,280.035,2019-01-29,Cash,266.7,8.6
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,Credit card,749.16,7.4
507,862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05,6,25.215,529.515,2019-01-29,Credit card,504.3,7.7
200,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,2019-01-29,Credit card,114.9,6.8
658,816-72-8853,A,Yangon,Member,Female,Sports and travel,27.93,5,6.9825,146.6325,2019-01-29,Cash,139.65,5.9
695,800-09-8606,A,Yangon,Member,Female,Home and lifestyle,87.37,5,21.8425,458.6925,2019-01-29,Cash,436.85,6.6
479,575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,2019-01-29,Ewallet,38.6,6.7
562,134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42,8,16.968,356.32800000000003,2019-01-30,Ewallet,339.36,5.7
847,862-29-5914,C,Naypyitaw,Normal,Female,Sports and travel,22.38,1,1.119,23.499000000000002,2019-01-30,Credit card,22.38,8.6
379,182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,2019-01-30,Credit card,94.6,4.0
845,804-38-3935,A,Yangon,Member,Male,Electronic accessories,93.78,3,14.067,295.407,2019-01-30,Credit card,281.34,5.9
557,283-26-5248,C,Naypyitaw,Member,Female,Food and beverages,98.52,10,49.26,1034.46,2019-01-30,Ewallet,985.2,4.5
488,556-72-8512,C,Naypyitaw,Normal,Male,Home and lifestyle,22.96,1,1.148,24.108,2019-01-30,Cash,22.96,4.3
343,416-13-5917,C,Naypyitaw,Normal,Female,Food and beverages,97.03,5,24.2575,509.4075,2019-01-30,Ewallet,485.15,9.3
747,664-14-2882,C,Naypyitaw,Member,Female,Home and lifestyle,10.53,5,2.6325,55.2825,2019-01-30,Credit card,52.65,5.8
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,Ewallet,152.8,6.5
809,189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18,10,31.09,652.89,2019-01-31,Ewallet,621.8,6.0
227,583-72-1480,C,Naypyitaw,Member,Male,Electronic accessories,37.06,4,7.412000000000001,155.65200000000002,2019-01-31,Ewallet,148.24,9.7
220,239-36-3640,B,Mandalay,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,2019-01-31,Ewallet,272.1,6.1
714,735-32-9839,C,Naypyitaw,Member,Male,Fashion accessories,98.7,8,39.48,829.08,2019-01-31,Ewallet,789.6,8.5
287,226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.4375,2019-01-31,Cash,213.75,9.5
430,286-75-7818,B,Mandalay,Normal,Male,Fashion accessories,69.08,2,6.9079999999999995,145.06799999999998,2019-01-31,Credit card,138.16,6.9
256,366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,2019-01-31,Credit card,66.35,9.7
761,525-09-8450,B,Mandalay,Normal,Male,Electronic accessories,72.13,10,36.065,757.365,2019-01-31,Credit card,721.3,4.2
706,834-45-5519,B,Mandalay,Normal,Female,Electronic accessories,43.0,4,8.6,180.6,2019-01-31,Ewallet,172.0,7.6
385,525-88-7307,B,Mandalay,Member,Male,Sports and travel,75.82,1,3.7910000000000004,79.611,2019-01-31,Cash,75.82,5.8
454,187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,87.234,2019-01-31,Cash,83.08,4.7
310,532-59-7201,B,Mandalay,Member,Male,Sports and travel,79.93,6,23.979,503.559,2019-01-31,Cash,479.58,5.5
913,522-57-8364,A,Yangon,Member,Male,Fashion accessories,51.34,8,20.535999999999998,431.256,2019-01-31,Ewallet,410.72,7.6
779,457-94-0464,B,Mandalay,Member,Male,Electronic accessories,87.87,9,39.5415,830.3715,2019-01-31,Ewallet,790.83,5.6
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,Cash,207.63,4.9
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,Credit card,727.11,9.5
539,358-88-9262,C,Naypyitaw,Member,Female,Food and beverages,87.48,6,26.244,551.124,2019-02-01,Ewallet,524.88,5.1
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,24.331999999999997,510.972,2019-02-01,Credit card,486.64,8.5
312,870-76-1733,A,Yangon,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,2019-02-01,Credit card,71.15,4.4
581,443-82-0585,A,Yangon,Member,Female,Health and beauty,77.68,4,15.536,326.256,2019-02-01,Cash,310.72,8.4
480,541-08-3113,C,Naypyitaw,Normal,Male,Food and beverages,65.97,8,26.388,554.148,2019-02-02,Cash,527.76,8.4
720,418-05-0656,B,Mandalay,Normal,Female,Fashion accessories,25.56,7,8.946,187.86599999999999,2019-02-02,Cash,178.92,7.1
472,405-31-3305,A,Yangon,Member,Male,Fashion accessories,43.13,10,21.565,452.865,2019-02-02,Credit card,431.3,5.5
915,717-96-4189,C,Naypyitaw,Normal,Female,Electronic accessories,35.49,6,10.647,223.58700000000002,2019-02-02,Cash,212.94,4.1
745,390-17-5806,C,Naypyitaw,Member,Female,Food and beverages,38.42,1,1.921,40.341,2019-02-02,Cash,38.42,8.6
370,201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,2019-02-02,Cash,183.82,9.9
931,756-93-1854,C,Naypyitaw,Member,Female,Fashion accessories,83.35,2,8.335,175.035,2019-02-02,Credit card,166.7,9.5
499,420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.76800000000003,2019-02-02,Cash,412.16,9.6
118,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,Ewallet,109.6,6.0
250,845-51-0542,B,Mandalay,Member,Male,Food and beverages,46.55,9,20.9475,439.8975,2019-02-02,Ewallet,418.95,6.4
277,376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,2019-02-02,Ewallet,381.68,6.4
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,Cash,18.33,4.3
41,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611000000000001,117.831,2019-02-02,Cash,112.22,6.3
244,376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,Credit card,750.96,8.3
947,676-10-2200,B,Mandalay,Member,Male,Fashion accessories,53.78,1,2.6889999999999996,56.468999999999994,2019-02-03,Ewallet,53.78,4.7
614,443-59-0061,A,Yangon,Member,Male,Food and beverages,67.45,10,33.725,708.225,2019-02-03,Ewallet,674.5,4.2
50,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,Cash,639.8,9.5
751,585-86-8361,A,Yangon,Normal,Female,Food and beverages,27.28,5,6.82,143.22,2019-02-03,Credit card,136.4,8.6
500,277-63-2961,B,Mandalay,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,2019-02-03,Credit card,73.97,5.4
660,322-02-2271,B,Mandalay,Normal,Female,Sports and travel,42.97,3,6.4455,135.3555,2019-02-03,Cash,128.91,9.3
652,742-04-5161,A,Yangon,Member,Male,Home and lifestyle,72.78,10,36.39,764.19,2019-02-03,Cash,727.8,7.3
62,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,Ewallet,495.63,10.0
566,718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,517.965,2019-02-03,Credit card,493.3,9.4
819,190-59-3964,B,Mandalay,Member,Male,Food and beverages,47.16,5,11.79,247.59,2019-02-03,Credit card,235.8,6.0
462,326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95,4,14.79,310.59,2019-02-03,Cash,295.8,6.1
460,639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52,5,10.13,212.73,2019-02-03,Cash,202.6,4.5
289,430-60-3493,A,Yangon,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,2019-02-03,Cash,664.16,4.2
332,566-71-1091,A,Yangon,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,2019-02-03,Cash,385.1,5.5
979,151-33-7434,B,Mandalay,Normal,Female,Food and beverages,67.77,1,3.3885,71.1585,2019-02-04,Credit card,67.77,6.5
419,745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22,7,8.827,185.36700000000002,2019-02-04,Cash,176.54,8.2
489,627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68,9,34.955999999999996,734.076,2019-02-04,Ewallet,699.12,9.8
665,518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63,4,9.726,204.24599999999998,2019-02-04,Ewallet,194.52,7.6
724,434-35-9162,B,Mandalay,Member,Male,Food and beverages,23.34,4,4.668,98.02799999999999,2019-02-04,Ewallet,93.36,7.4
785,404-91-5964,A,Yangon,Normal,Male,Electronic accessories,74.58,7,26.103,548.163,2019-02-04,Credit card,522.06,9.0
587,695-28-6250,A,Yangon,Normal,Female,Sports and travel,43.06,5,10.765,226.065,2019-02-04,Ewallet,215.3,7.7
713,268-20-3585,C,Naypyitaw,Normal,Female,Health and beauty,13.85,9,6.2325,130.8825,2019-02-04,Ewallet,124.65,6.0
556,198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04,2,7.204,151.284,2019-02-04,Cash,144.08,9.5
346,441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1,3.5975,75.5475,2019-02-04,Cash,71.95,7.3
402,236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1,0.6990000000000001,14.679,2019-02-04,Ewallet,13.98,9.8
142,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,Cash,686.0,9.1
961,324-92-3863,A,Yangon,Member,Male,Electronic accessories,20.89,2,2.089,43.869,2019-02-05,Cash,41.78,9.8
311,181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.593,2019-02-05,Ewallet,138.66,9.7
782,307-04-2070,A,Yangon,Member,Female,Fashion accessories,30.62,1,1.531,32.150999999999996,2019-02-05,Credit card,30.62,4.1
886,325-89-4209,A,Yangon,Member,Male,Food and beverages,87.9,1,4.395,92.295,2019-02-05,Ewallet,87.9,6.7
111,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,Credit card,294.63,7.8
593,880-35-0356,A,Yangon,Member,Female,Sports and travel,75.2,3,11.28,236.88,2019-02-05,Ewallet,225.6,4.8
110,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,Ewallet,32.98,4.6
257,729-09-9681,A,Yangon,Member,Male,Home and lifestyle,25.91,6,7.773,163.233,2019-02-05,Ewallet,155.46,8.7
897,409-49-6995,C,Naypyitaw,Member,Female,Food and beverages,47.27,6,14.181,297.801,2019-02-05,Cash,283.62,8.8
339,374-17-3652,B,Mandalay,Member,Female,Food and beverages,42.82,9,19.269000000000002,404.649,2019-02-05,Credit card,385.38,8.9
552,210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208000000000002,550.368,2019-02-05,Cash,524.16,9.7
894,811-35-1094,B,Mandalay,Member,Male,Electronic accessories,50.45,6,15.135,317.835,2019-02-06,Credit card,302.7,8.9
725,149-14-0304,C,Naypyitaw,Member,Female,Health and beauty,28.5,8,11.4,239.4,2019-02-06,Cash,228.0,6.6
10,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.8960000000000004,60.816,2019-02-06,Ewallet,57.92,4.5
773,471-06-8611,C,Naypyitaw,Normal,Female,Food and beverages,52.42,1,2.6210000000000004,55.041000000000004,2019-02-06,Credit card,52.42,6.3
